date,open,high,low,close,volume
2025-05-29 19:55:00,588.37,588.4,588.2085,588.399,2862.0
2025-05-29 19:56:00,588.37,588.37,588.24,588.24,467.0
2025-05-29 19:57:00,588.25,588.25,588.13,588.2,299.0
2025-05-29 19:58:00,588.17,588.2,588.17,588.17,3930.0
2025-05-29 19:59:00,588.16,588.1806,588.0999,588.0999,1492.0
2025-05-29 20:00:00,590.05,590.05,590.05,590.05,788731.0
2025-05-30 04:00:00,588.94,589.32,588.7,589.32,2608.0
2025-05-30 04:01:00,589.42,589.43,589.26,589.26,1118.0
2025-05-30 04:02:00,589.31,589.34,589.15,589.34,2238.0
2025-05-30 04:03:00,589.32,589.41,589.32,589.41,97.0
2025-05-30 04:04:00,589.42,589.42,589.39,589.42,212.0
2025-05-30 04:05:00,589.34,589.34,589.21,589.23,416.0
2025-05-30 04:06:00,589.31,589.38,589.23,589.28,140.0
2025-05-30 04:07:00,589.29,589.5,589.29,589.5,1315.0
2025-05-30 04:08:00,589.51,589.65,589.51,589.59,1249.0
2025-05-30 04:09:00,589.6,589.6,589.48,589.59,574.0
2025-05-30 04:10:00,589.55,589.63,589.52,589.6,530.0
2025-05-30 04:11:00,589.67,589.67,589.56,589.65,249.0
2025-05-30 04:12:00,589.7,589.76,589.67,589.67,2552.0
2025-05-30 04:13:00,589.69,589.75,589.68,589.68,288.0
2025-05-30 04:14:00,589.71,589.71,589.63,589.63,503.0
2025-05-30 04:15:00,589.68,589.76,589.64,589.67,1156.0
2025-05-30 04:16:00,589.7,589.8,589.69,589.71,750.0
2025-05-30 04:17:00,589.73,589.73,589.65,589.65,218.0
2025-05-30 04:18:00,589.63,589.74,589.63,589.69,863.0
2025-05-30 04:19:00,589.61,589.61,589.51,589.51,376.0
2025-05-30 04:20:00,589.57,589.64,589.57,589.6,104.0
2025-05-30 04:21:00,589.53,589.55,589.32,589.32,1378.0
2025-05-30 04:22:00,589.36,589.47,589.36,589.47,51.0
2025-05-30 04:23:00,589.48,589.48,589.41,589.43,443.0
2025-05-30 04:24:00,589.45,589.45,589.39,589.45,134.0
2025-05-30 04:25:00,589.48,589.49,589.41,589.49,312.0
2025-05-30 04:26:00,589.6,589.6,589.4,589.4,107.0
2025-05-30 04:27:00,589.4,589.48,589.4,589.45,361.0
2025-05-30 04:28:00,589.38,589.44,589.38,589.43,692.0
2025-05-30 04:29:00,589.36,589.36,589.28,589.31,287.0
2025-05-30 04:30:00,589.31,589.31,589.31,589.31,1.0
2025-05-30 04:31:00,589.42,589.43,589.42,589.43,148.0
2025-05-30 04:32:00,589.39,589.39,589.29,589.29,30.0
